order_id,order_date,hub,courier_partner,distance_km,order_value_inr,promised_delivery_date,actual_delivery_date,delay_days,is_late,order_weekday,order_month
ORD100000,2024-04-12,Hub_D_Kolkata,SpeedX,235.3,1858.98,2024-04-15,2024-04-15,0,0,Friday,April
ORD100001,2024-12-25,Hub_D_Kolkata,SpeedX,113.5,484.4,2024-12-28,2024-12-28,0,0,Wednesday,December
ORD100002,2024-02-18,Hub_C_Delhi,ExpressLine,145.4,658.77,2024-02-21,2024-02-21,0,0,Sunday,February
ORD100003,2024-11-02,Hub_D_Kolkata,ExpressLine,27.5,1606.4,2024-11-05,2024-11-08,3,1,Saturday,November
ORD100004,2024-09-20,Hub_A_Mumbai,QuickDrop,289.4,240.83,2024-09-23,2024-09-23,0,0,Friday,September
ORD100005,2024-07-09,Hub_E_Chennai,ExpressLine,269.3,654.65,2024-07-12,2024-07-12,0,0,Tuesday,July
ORD100006,2024-07-08,Hub_B_Bangalore,ExpressLine,281.3,478.8,2024-07-11,2024-07-11,0,0,Monday,July
ORD100007,2024-01-15,Hub_A_Mumbai,SpeedX,33.0,203.22,2024-01-18,2024-01-18,0,0,Monday,January
ORD100008,2024-10-15,Hub_C_Delhi,QuickDrop,263.6,898.98,2024-10-18,2024-10-19,1,1,Tuesday,October
ORD100009,2024-03-02,Hub_B_Bangalore,SwiftGo,291.4,935.82,2024-03-05,2024-03-05,0,0,Saturday,March
ORD100010,2024-08-05,Hub_B_Bangalore,SpeedX,156.2,317.29,2024-08-08,2024-08-08,0,0,Monday,August
ORD100011,2024-08-09,Hub_A_Mumbai,SwiftGo,54.2,866.1,2024-08-12,2024-08-11,-1,0,Friday,August
ORD100012,2024-06-18,Hub_E_Chennai,SwiftGo,205.4,947.95,2024-06-21,2024-06-21,0,0,Tuesday,June
ORD100013,2024-12-13,Hub_B_Bangalore,QuickDrop,293.9,217.01,2024-12-16,2024-12-16,0,0,Friday,December
ORD100014,2024-05-16,Hub_C_Delhi,SwiftGo,87.0,368.32,2024-05-19,2024-05-19,0,0,Thursday,May
ORD100015,2024-11-13,Hub_E_Chennai,QuickDrop,171.2,137.37,2024-11-16,2024-11-18,2,1,Wednesday,November
ORD100016,2024-05-09,Hub_B_Bangalore,SpeedX,363.6,189.04,2024-05-12,2024-05-12,0,0,Thursday,May
ORD100017,2024-09-03,Hub_D_Kolkata,SwiftGo,284.2,336.03,2024-09-06,2024-09-06,0,0,Tuesday,September
ORD100018,2024-08-27,Hub_D_Kolkata,SpeedX,515.3,798.03,2024-08-31,2024-09-03,3,1,Tuesday,August
