order_id,order_date,hub,courier_partner,distance_km,order_value_inr,promised_delivery_date,actual_delivery_date,delay_days,is_late,order_weekday,order_month,distance_band,late_risk_score
ORD102926,2024-01-01,Hub_E_Chennai,ExpressLine,195.3,387.69,2024-01-04,2024-01-04,0,0,Monday,January,2. 100-250km,0.16264795221932807
ORD101923,2024-01-01,Hub_E_Chennai,SwiftGo,721.6,1186.05,2024-01-05,2024-01-05,0,0,Monday,January,4. Over 400km,0.4649133828462895
ORD101529,2024-01-01,Hub_A_Mumbai,ExpressLine,167.2,1121.11,2024-01-04,2024-01-04,0,0,Monday,January,2. 100-250km,0.14303650910951718
ORD101528,2024-01-01,Hub_A_Mumbai,SpeedX,168.2,1933.06,2024-01-04,2024-01-04,0,0,Monday,January,2. 100-250km,0.1201835518657377
ORD105841,2024-01-01,Hub_D_Kolkata,QuickDrop,249.1,158.83,2024-01-04,2024-01-04,0,0,Monday,January,2. 100-250km,0.41811492496458813
ORD100500,2024-01-01,Hub_A_Mumbai,SpeedX,386.3,555.07,2024-01-04,2024-01-05,1,1,Monday,January,3. 250-400km,0.14643871100475075
ORD103348,2024-01-01,Hub_D_Kolkata,ExpressLine,77.0,949.04,2024-01-04,2024-01-04,0,0,Monday,January,1. Under 100km,0.34404319017335155
ORD109821,2024-01-01,Hub_E_Chennai,SpeedX,112.9,1853.7,2024-01-04,2024-01-04,0,0,Monday,January,2. 100-250km,0.12717232203318166
ORD109659,2024-01-01,Hub_A_Mumbai,ExpressLine,69.8,711.44,2024-01-04,2024-01-04,0,0,Monday,January,1. Under 100km,0.1310092852628865
ORD106627,2024-01-01,Hub_E_Chennai,QuickDrop,256.5,685.67,2024-01-04,2024-01-04,0,0,Monday,January,3. 250-400km,0.19158874705990775
ORD107759,2024-01-01,Hub_E_Chennai,SwiftGo,104.8,2359.42,2024-01-04,2024-01-03,-1,0,Monday,January,2. 100-250km,0.31323385512781304
ORD106903,2024-01-01,Hub_B_Bangalore,SpeedX,299.7,355.68,2024-01-04,2024-01-04,0,0,Monday,January,3. 250-400km,0.14028126627420445
ORD109064,2024-01-01,Hub_E_Chennai,SpeedX,284.5,837.98,2024-01-04,2024-01-03,-1,0,Monday,January,3. 250-400km,0.1484388682265347
ORD111462,2024-01-01,Hub_A_Mumbai,SpeedX,169.7,1000.0,2024-01-04,2024-01-05,1,1,Monday,January,2. 100-250km,0.12034937407862162
ORD100795,2024-01-01,Hub_E_Chennai,SpeedX,99.2,330.08,2024-01-04,2024-01-05,1,1,Monday,January,1. Under 100km,0.12559188017503245
ORD109147,2024-01-01,Hub_E_Chennai,SpeedX,138.8,412.02,2024-01-04,2024-01-04,0,0,Monday,January,2. 100-250km,0.1302065899960214
ORD100812,2024-01-01,Hub_C_Delhi,QuickDrop,123.2,1659.18,2024-01-04,2024-01-04,0,0,Monday,January,2. 100-250km,0.19353440008427777
ORD104597,2024-01-01,Hub_D_Kolkata,ExpressLine,164.3,3761.91,2024-01-04,2024-01-06,2,1,Monday,January,2. 100-250km,0.364910933060907
ORD101776,2024-01-01,Hub_E_Chennai,ExpressLine,77.4,248.09,2024-01-04,2024-01-04,0,0,Monday,January,1. Under 100km,0.1465594330738166
ORD106802,2024-01-01,Hub_E_Chennai,SwiftGo,441.3,762.56,2024-01-05,2024-01-04,-1,0,Monday,January,4. Over 400km,0.39330274800780546
ORD105107,2024-01-01,Hub_E_Chennai,ExpressLine,238.6,1342.13,2024-01-04,2024-01-04,0,0,Monday,January,2. 100-250km,0.16890406733826555
ORD111993,2024-01-01,Hub_C_Delhi,SwiftGo,186.1,1074.99,2024-01-04,2024-01-03,-1,0,Monday,January,2. 100-250km,0.36625793724242256
ORD105819,2024-01-01,Hub_C_Delhi,SpeedX,216.1,366.51,2024-01-04,2024-01-04,0,0,Monday,January,2. 100-250km,0.1588815930105785
ORD103364,2024-01-01,Hub_B_Bangalore,ExpressLine,148.7,1049.12,2024-01-04,2024-01-06,2,1,Monday,January,2. 100-250km,0.14563110872712173
ORD103667,2024-01-01,Hub_B_Bangalore,SwiftGo,28.8,1796.97,2024-01-04,2024-01-04,0,0,Monday,January,1. Under 100km,0.2796109453812862
ORD105368,2024-01-01,Hub_B_Bangalore,SpeedX,144.2,849.73,2024-01-04,2024-01-03,-1,0,Monday,January,2. 100-250km,0.12180677068727942
ORD104876,2024-01-01,Hub_E_Chennai,ExpressLine,233.7,498.79,2024-01-04,2024-01-04,0,0,Monday,January,2. 100-250km,0.1681865925382431
ORD100999,2024-01-01,Hub_B_Bangalore,ExpressLine,309.4,494.15,2024-01-04,2024-01-04,0,0,Monday,January,3. 250-400km,0.1677890852632219
ORD100052,2024-01-01,Hub_D_Kolkata,SwiftGo,179.8,2877.01,2024-01-04,2024-01-07,3,1,Monday,January,2. 100-250km,0.601149111526559
ORD109550,2024-01-01,Hub_A_Mumbai,SwiftGo,206.4,1976.2,2024-01-04,2024-01-05,1,1,Monday,January,2. 100-250km,0.30977636155754656
ORD108829,2024-01-01,Hub_E_Chennai,QuickDrop,283.3,369.94,2024-01-04,2024-01-04,0,0,Monday,January,3. 250-400km,0.19596327571707403
ORD107542,2024-01-01,Hub_C_Delhi,SwiftGo,173.1,1435.85,2024-01-04,2024-01-05,1,1,Monday,January,2. 100-250km,0.3631108857523202
ORD104669,2024-01-02,Hub_B_Bangalore,SwiftGo,111.7,1321.88,2024-01-05,2024-01-06,1,1,Tuesday,January,2. 100-250km,0.32826870187094825
ORD110842,2024-01-02,Hub_B_Bangalore,SpeedX,36.8,870.48,2024-01-05,2024-01-05,0,0,Tuesday,January,1. Under 100km,0.12522000654582235
ORD108746,2024-01-02,Hub_A_Mumbai,ExpressLine,300.9,420.87,2024-01-05,2024-01-04,-1,0,Tuesday,January,3. 250-400km,0.18140602417202603
ORD107940,2024-01-02,Hub_E_Chennai,SwiftGo,104.7,1617.04,2024-01-05,2024-01-08,3,1,Tuesday,January,2. 100-250km,0.34493005417910527
ORD101613,2024-01-02,Hub_C_Delhi,SpeedX,244.7,642.43,2024-01-05,2024-01-05,0,0,Tuesday,January,2. 100-250km,0.18348048898742703
ORD111884,2024-01-02,Hub_E_Chennai,ExpressLine,156.0,1566.18,2024-01-05,2024-01-05,0,0,Tuesday,January,2. 100-250km,0.17712167743931675
ORD108737,2024-01-02,Hub_A_Mumbai,SwiftGo,80.0,726.5,2024-01-05,2024-01-05,0,0,Tuesday,January,1. Under 100km,0.3122788865598225
ORD107142,2024-01-02,Hub_E_Chennai,ExpressLine,187.1,186.15,2024-01-05,2024-01-04,-1,0,Tuesday,January,2. 100-250km,0.18190759911581994
ORD105952,2024-01-02,Hub_D_Kolkata,SwiftGo,74.2,3704.99,2024-01-05,2024-01-08,3,1,Tuesday,January,1. Under 100km,0.6091323708718106
ORD108064,2024-01-02,Hub_C_Delhi,ExpressLine,631.8,882.31,2024-01-06,2024-01-06,0,0,Tuesday,January,4. Over 400km,0.29172172316285605
ORD106833,2024-01-02,Hub_D_Kolkata,SwiftGo,226.3,1411.25,2024-01-05,2024-01-07,2,1,Tuesday,January,2. 100-250km,0.6462484083011514
ORD103279,2024-01-02,Hub_A_Mumbai,SwiftGo,392.4,199.09,2024-01-05,2024-01-05,0,0,Tuesday,January,3. 250-400km,0.38625679366375537
ORD110497,2024-01-02,Hub_C_Delhi,ExpressLine,128.2,625.02,2024-01-05,2024-01-05,0,0,Tuesday,January,2. 100-250km,0.19572581687361934
ORD103655,2024-01-02,Hub_A_Mumbai,SpeedX,229.2,834.66,2024-01-05,2024-01-07,2,1,Tuesday,January,2. 100-250km,0.14390732717852342
ORD100615,2024-01-02,Hub_D_Kolkata,SwiftGo,276.3,437.23,2024-01-05,2024-01-05,0,0,Tuesday,January,3. 250-400km,0.6580984566967292
ORD100611,2024-01-02,Hub_E_Chennai,SpeedX,141.2,1200.7,2024-01-05,2024-01-05,0,0,Tuesday,January,2. 100-250km,0.1476845876233307
ORD106631,2024-01-02,Hub_E_Chennai,SpeedX,280.4,1539.27,2024-01-05,2024-01-05,0,0,Tuesday,January,3. 250-400km,0.16694516291428807
ORD111296,2024-01-02,Hub_A_Mumbai,SwiftGo,179.0,537.07,2024-01-05,2024-01-04,-1,0,Tuesday,January,2. 100-250km,0.3349132043200942
ORD105411,2024-01-02,Hub_D_Kolkata,SpeedX,209.7,396.47,2024-01-05,2024-01-07,2,1,Tuesday,January,2. 100-250km,0.362536878621981
ORD105420,2024-01-02,Hub_B_Bangalore,SpeedX,141.3,892.85,2024-01-05,2024-01-05,0,0,Tuesday,January,2. 100-250km,0.13767779170166225
ORD105435,2024-01-02,Hub_E_Chennai,ExpressLine,134.6,152.05,2024-01-05,2024-01-05,0,0,Tuesday,January,2. 100-250km,0.17388622638950962
ORD111074,2024-01-02,Hub_E_Chennai,QuickDrop,173.9,2059.36,2024-01-05,2024-01-05,0,0,Tuesday,January,2. 100-250km,0.2006435763831467
ORD102875,2024-01-02,Hub_E_Chennai,SpeedX,250.2,1072.39,2024-01-05,2024-01-04,-1,0,Tuesday,January,3. 250-400km,0.16260271945525778
ORD103302,2024-01-02,Hub_D_Kolkata,QuickDrop,167.7,384.81,2024-01-05,2024-01-08,3,1,Tuesday,January,2. 100-250km,0.43246037166514334
ORD111124,2024-01-02,Hub_B_Bangalore,SwiftGo,97.6,275.62,2024-01-05,2024-01-05,0,0,Tuesday,January,1. Under 100km,0.3250283305997835
ORD108093,2024-01-02,Hub_E_Chennai,ExpressLine,193.8,14.39,2024-01-05,2024-01-04,-1,0,Tuesday,January,2. 100-250km,0.18295171864316292
ORD109166,2024-01-02,Hub_E_Chennai,SwiftGo,153.9,443.19,2024-01-05,2024-01-09,4,1,Tuesday,January,2. 100-250km,0.35663634097122165
ORD108595,2024-01-02,Hub_C_Delhi,SwiftGo,564.5,372.35,2024-01-06,2024-01-08,2,1,Tuesday,January,4. Over 400km,0.49770417901133596
ORD104612,2024-01-02,Hub_E_Chennai,SwiftGo,94.6,1621.79,2024-01-05,2024-01-09,4,1,Tuesday,January,1. Under 100km,0.3425494797809578
ORD107269,2024-01-02,Hub_A_Mumbai,SpeedX,175.3,861.35,2024-01-05,2024-01-05,0,0,Tuesday,January,2. 100-250km,0.13710727147232954
ORD106178,2024-01-02,Hub_E_Chennai,QuickDrop,177.1,551.12,2024-01-05,2024-01-05,0,0,Tuesday,January,2. 100-250km,0.20118036837825848
ORD107948,2024-01-02,Hub_A_Mumbai,QuickDrop,352.8,1010.78,2024-01-05,2024-01-05,0,0,Tuesday,January,3. 250-400km,0.21121272793908066
ORD107285,2024-01-02,Hub_D_Kolkata,SpeedX,395.1,353.25,2024-01-05,2024-01-04,-1,0,Tuesday,January,3. 250-400km,0.40838295388374674
ORD111445,2024-01-02,Hub_B_Bangalore,ExpressLine,241.1,1088.83,2024-01-05,2024-01-05,0,0,Tuesday,January,2. 100-250km,0.17814094890932083
ORD101956,2024-01-02,Hub_B_Bangalore,SwiftGo,189.9,338.47,2024-01-05,2024-01-06,1,1,Tuesday,January,2. 100-250km,0.34653202272213457
ORD108863,2024-01-02,Hub_E_Chennai,SpeedX,295.6,95.69,2024-01-05,2024-01-08,3,1,Tuesday,January,3. 250-400km,0.16916561273620564
ORD108166,2024-01-02,Hub_B_Bangalore,ExpressLine,32.3,256.38,2024-01-05,2024-01-05,0,0,Tuesday,January,1. Under 100km,0.14840583316452674
ORD109859,2024-01-03,Hub_B_Bangalore,SwiftGo,90.5,155.25,2024-01-06,2024-01-08,2,1,Wednesday,January,1. Under 100km,0.29205797434775915
ORD102186,2024-01-03,Hub_B_Bangalore,SpeedX,115.0,307.81,2024-01-06,2024-01-06,0,0,Wednesday,January,2. 100-250km,0.11821684125438661
ORD110294,2024-01-03,Hub_A_Mumbai,SwiftGo,144.0,282.62,2024-01-06,2024-01-06,0,0,Wednesday,January,2. 100-250km,0.29528570258616205
ORD108934,2024-01-03,Hub_C_Delhi,SpeedX,39.1,545.45,2024-01-06,2024-01-05,-1,0,Wednesday,January,1. Under 100km,0.13528718802444403
ORD108257,2024-01-03,Hub_C_Delhi,QuickDrop,201.2,149.73,2024-01-06,2024-01-06,0,0,Wednesday,January,2. 100-250km,0.20600242655552162
